Pred_Len,MAE,MAPE,MSE,RMSE,R2
6 (Step-1),0.0410122238099575,0.5349330604076385,0.0039466484449803,0.0628223562514204,0.9437633156776428
12 (Step-1),0.0440710745751857,0.5748290568590164,0.0046605537645518,0.0682682485827187,0.9336020350456238
24 (Step-1),0.05911785364151,0.7718278095126152,0.0077305696904659,0.08792365830916,0.8899307250976562
48 (Step-1),0.0709182396531105,0.9281936101615428,0.0105006843805313,0.1024728470402345,0.8507439494132996
96 (Step-1),0.0913588032126426,1.201524492353201,0.0160514283925294,0.1266942318834187,0.7727270722389221
168 (Step-1),0.1027725860476493,1.353532075881958,0.021137312054634,0.1453867671235387,0.7023189663887024
