Actual,Predicted
7.9,7.909397
7.9,7.8958063
7.9,7.9072995
7.9,7.903517
7.9,7.8999715
7.9,7.9042196
7.9,7.8945394
7.9,7.900934
7.9,7.8857408
7.9,7.9003954
7.9,7.890665
7.9,7.889345
7.9,7.894892
7.9,7.895188
7.9,7.903944
7.9,7.896949
7.9,7.8914714
7.9,7.8916693
7.9,7.8977685
7.9,7.9022145
7.9,7.9033575
7.9,7.8932467
7.9,7.899623
7.9,7.892223
7.9,7.9039445
7.9,7.889398
7.9,7.899819
7.9,7.900498
7.9,7.9099503
7.9,7.9209957
7.9,7.9143825
7.9,7.908528
7.9,7.894513
7.9,7.9010863
7.9,7.902854
7.9,7.8956895
7.9,7.8905144
7.9,7.9033895
7.9,7.896189
7.9,7.891852
7.9,7.9002438
7.9,7.9120317
7.9,7.9111357
7.9,7.9034386
7.9,7.9014993
7.9,7.892721
7.9,7.893839
7.9,7.895366
7.9,7.8999925
7.9,7.8953204
7.9,7.882611
7.9,7.887243
7.9,7.8826013
7.9,7.9071894
7.9,7.885212
7.9,7.889068
7.9,7.8893523
7.9,7.8917065
7.9,7.892132
7.9,7.8801036
7.9,7.8946586
7.9,7.8864775
7.9,7.8953543
7.9,7.885837
7.9,7.8811555
7.9,7.8839245
7.9,7.8857627
7.9,7.8995724
7.9,7.8979774
7.9,7.899949
7.9,7.894213
7.9,7.899741
7.9,7.896733
7.9,7.8927608
7.9,7.9003434
7.9,7.8950906
7.9,7.8922997
7.9,7.89247
7.9,7.8959866
7.9,7.8972797
7.9,7.898932
7.9,7.8956175
7.9,7.895866
7.9,7.896232
7.9,7.8992157
7.9,7.8990355
7.9,7.897561
7.9,7.8974504
7.9,7.8960013
7.9,7.897181
7.9,7.8946614
7.9,7.893355
7.9,7.892323
7.9,7.8927627
7.9,7.893497
7.9,7.8940334
7.9,7.895177
7.9,7.895025
7.9,7.894918
7.9,7.894451
7.9,7.894752
7.9,7.8945
7.9,7.894076
7.9,7.8943596
7.9,7.8942933
7.9,7.894255
7.9,7.8942194
7.9,7.894477
7.9,7.8935933
7.9,7.8940663
7.9,7.8940153
7.9,7.893979
7.9,7.8937826
7.9,7.8935633
7.9,7.893568
7.9,7.893452
7.9,7.893281
7.9,7.8933415
7.9,7.893029
7.9,7.8933325
7.9,7.893241
7.9,7.893323
7.9,7.8930902
7.9,7.8932447
7.9,7.892832
7.9,7.8925505
7.9,7.892415
7.9,7.8919086
7.9,7.8922715
7.9,7.8912764
7.9,7.8924994
7.9,7.8921847
7.9,7.891954
7.9,7.891741
7.9,7.8919134
