Actual,Predicted
289.0,288.39944
289.0,288.29138
290.0,288.35904
290.0,289.26794
290.0,289.61996
291.0,290.17166
291.0,289.87872
292.0,290.18488
293.0,290.91086
294.0,290.74716
294.0,290.68353
295.0,291.11728
296.0,291.15652
296.0,292.1805
297.0,292.8924
297.0,293.6578
297.0,293.56638
297.0,295.12173
298.0,295.7479
297.0,296.36438
298.0,296.28375
297.0,298.23337
297.0,296.95255
297.0,297.84338
297.0,297.98233
297.0,297.633
297.0,297.86853
297.0,297.78348
296.0,296.95026
296.0,296.10876
296.0,296.615
295.0,295.0522
295.0,294.6047
294.0,295.06995
294.0,294.48004
294.0,294.33456
294.0,294.37375
294.0,294.6073
294.0,294.55368
294.0,294.90646
293.0,294.47897
293.0,293.9566
293.0,294.21472
293.0,294.5123
293.0,294.13806
293.0,293.9595
293.0,294.38028
293.0,293.909
293.0,294.087
293.0,293.57513
293.0,293.4548
293.0,292.48584
292.0,292.03476
293.0,292.05365
292.0,291.7822
292.0,291.4808
292.0,290.7931
293.0,290.84494
293.0,291.1628
294.0,291.1275
294.0,292.02298
294.0,291.6158
294.0,292.17416
294.0,292.27426
294.0,292.74753
295.0,293.08258
295.0,294.2222
295.0,294.3186
295.0,294.70685
294.0,294.90067
295.0,295.29144
295.0,296.48227
294.0,295.90207
295.0,296.61362
295.0,297.04462
295.0,296.94437
296.0,297.79056
297.0,298.17798
297.0,298.00015
297.0,298.9676
297.0,298.7484
297.0,298.40417
297.0,299.17532
297.0,299.2102
297.0,298.37933
297.0,298.78455
297.0,298.6102
297.0,298.6681
297.0,299.06638
297.0,299.3172
297.0,299.03357
297.0,299.70148
297.0,299.89178
297.0,300.18304
298.0,300.87732
298.0,301.16785
299.0,302.0689
300.0,302.24603
300.0,303.0576
300.0,302.87048
299.0,302.9073
300.0,302.2805
298.0,302.62546
299.0,301.7388
299.0,301.54373
299.0,301.67914
299.0,300.60092
299.0,301.50122
300.0,301.17706
301.0,301.50653
301.0,301.98526
300.0,301.507
300.0,301.2936
300.0,301.12173
300.0,301.4193
301.0,302.18808
302.0,302.26474
302.0,302.65228
303.0,303.08145
303.0,303.56314
303.0,303.57935
302.0,303.7188
303.0,303.11295
302.0,303.466
302.0,302.98187
301.0,302.91675
301.0,302.09033
301.0,302.2808
300.0,302.00946
300.0,301.36887
299.0,301.2559
299.0,300.79938
299.0,301.31403
299.0,301.46112
300.0,301.7405
300.0,302.4318
300.0,302.1684
300.0,302.1467
299.0,302.25583
299.0,301.52615
299.0,301.65005
299.0,301.44446
299.0,301.82355
298.0,300.4092
298.0,300.86313
298.0,300.3397
298.0,300.71088
298.0,299.93665
297.0,299.9888
296.0,298.6996
296.0,298.4066
296.0,298.7634
296.0,297.93268
296.0,298.57
296.0,298.13086
295.0,298.3373
295.0,297.54105
296.0,298.64944
296.0,298.65128
