Actual,Predicted
15.4,15.538015
15.299999,15.365503
15.2,15.382828
15.2,15.355412
15.1,15.263891
15.1,15.23599
15.1,15.16463
15.1,15.10404
15.1,15.126339
15.1,15.12836
15.0,15.13485
15.0,15.000212
15.0,15.060478
15.0,15.140749
15.0,15.090167
15.0,15.177757
15.0,15.133471
15.0,15.183252
15.1,15.270092
15.1,15.267313
15.1,15.206171
15.2,15.277603
15.299999,15.220547
15.4,15.419943
15.6,15.602375
15.5,15.675423
15.4,15.685514
15.4,15.538593
15.299999,15.48579
15.2,15.363857
15.2,15.298769
15.2,15.315773
15.2,15.148783
15.2,15.11989
15.2,15.137661
15.2,15.244999
15.1,15.174913
15.1,15.201878
15.1,15.257403
15.1,15.242826
15.1,15.310844
15.2,15.387318
15.1,15.39419
15.1,15.314341
15.1,15.25699
15.1,15.168417
15.1,15.212609
15.1,15.17849
15.2,15.229092
15.299999,15.327085
15.4,15.438055
15.4,15.52903
15.299999,15.5470085
15.299999,15.465357
15.299999,15.413502
15.299999,15.361633
15.2,15.295206
15.299999,15.189918
15.299999,15.204324
15.2,15.19244
15.1,15.182464
15.1,15.207235
15.0,15.218149
15.0,15.168108
15.1,15.225344
15.1,15.17865
15.1,15.17574
15.2,15.220188
15.1,15.182211
15.299999,15.235134
15.5,15.37274
15.4,15.392164
15.5,15.451324
15.5,15.486166
15.6,15.527136
15.5,15.608509
15.4,15.5877495
15.299999,15.41898
15.1,15.28866
15.0,15.137902
15.0,15.101124
14.9,15.007845
14.799999,14.913843
14.799999,14.790478
14.7,14.818201
14.7,14.832033
14.7,14.86491
14.7,14.850853
14.7,14.756911
14.7,14.868161
14.7,14.938175
14.799999,14.925192
14.799999,15.006067
14.9,14.980018
15.1,15.030666
15.2,15.102318
15.2,15.176762
15.2,15.155429
15.1,15.086361
15.0,15.139151
14.9,14.985051
14.9,14.940365
14.799999,14.900933
14.799999,14.855396
14.799999,14.797179
14.7,14.780849
14.7,14.742359
14.7,14.745908
14.7,14.692831
14.7,14.754777
14.799999,14.767782
14.799999,14.784901
14.9,14.851767
14.9,14.936628
15.0,14.992767
15.1,15.105903
15.1,15.133305
15.299999,15.175485
15.299999,15.304234
15.299999,15.301152
15.299999,15.282196
15.299999,15.236165
15.2,15.215452
15.2,15.16134
15.1,15.149727
15.0,15.137053
15.0,15.144877
14.9,15.048998
14.9,15.015266
14.799999,14.853287
14.799999,14.8089695
14.799999,14.79308
14.799999,14.762592
14.799999,14.862196
14.799999,14.832438
14.9,14.915182
14.9,15.048695
15.0,15.094301
15.1,15.175316
15.299999,15.259769
15.4,15.380723
15.5,15.465675
15.5,15.572151
15.5,15.572668
15.4,15.511305
15.299999,15.38953
15.2,15.310713
15.2,15.1697645
15.1,15.135897
15.0,15.167469
15.0,15.136697
14.9,15.11844
14.9,15.020836
14.9,14.928886
14.799999,14.891281
14.799999,14.829637
14.9,14.836159
14.9,15.001171
15.2,15.036946
15.299999,15.203582
15.299999,15.416624
15.299999,15.432334
15.4,15.56938
15.5,15.673931
15.6,15.591229
15.6,15.666032
15.700001,15.721898
15.6,15.7036705
15.5,15.617847
15.5,15.597761
15.4,15.560669
15.299999,15.441442
15.299999,15.345406
15.2,15.337744
15.2,15.237134
15.2,15.287344
15.2,15.325304
15.2,15.277097
15.2,15.253041
15.2,15.22631
15.2,15.203285
15.2,15.222757
15.2,15.274746
15.299999,15.318571
15.299999,15.412575
15.4,15.480206
15.5,15.574823
15.6,15.6834135
15.700001,15.747396
15.700001,15.853281
15.700001,15.789986
15.700001,15.813147
15.6,15.763947
15.6,15.648827
15.6,15.625395
15.5,15.6557045
15.5,15.548883
15.4,15.571827
15.4,15.524946
15.4,15.499046
15.4,15.4314575
15.4,15.476177
15.299999,15.429209
15.299999,15.333359
15.299999,15.353289
15.4,15.393341
15.4,15.461096
15.4,15.559538
15.4,15.583206
15.4,15.705296
15.4,15.679949
15.4,15.718941
15.5,15.690029
15.6,15.701008
15.6,15.766894
15.700001,15.751604
15.700001,15.753222
15.700001,15.732218
15.6,15.705159
15.6,15.658035
15.6,15.615753
15.5,15.5906105
15.4,15.49593
15.2,15.374662
15.1,15.200873
15.0,15.072905
15.0,15.143255
15.0,15.059185
14.9,15.064812
15.0,15.002689
15.0,15.075252
15.0,15.203415
15.0,15.223354
15.0,15.254188
15.0,15.259319
15.1,15.215708
15.1,15.303392
15.2,15.299103
15.299999,15.441542
15.4,15.523933
15.4,15.571728
15.4,15.511282
15.299999,15.509775
15.299999,15.419685
15.299999,15.40716
15.2,15.387604
15.2,15.278086
15.1,15.178938
15.1,15.08533
15.0,15.10022
15.0,15.029911
15.0,15.025194
15.0,15.076654
15.0,15.043642
15.0,15.113348
15.0,15.142411
15.0,15.167122
15.0,15.157322
15.0,15.160898
15.1,15.220001
15.2,15.295894
15.299999,15.320985
15.299999,15.400267
15.299999,15.3909
15.299999,15.3783865
15.299999,15.422342
15.299999,15.451609
15.2,15.4127445
15.1,15.287626
15.0,15.213757
15.0,15.120298
14.9,15.040328
14.9,14.977612
14.799999,14.920263
14.799999,14.888723
14.799999,14.934235
14.799999,14.918793
14.799999,14.918329
14.799999,14.9777565
14.799999,14.96484
14.799999,15.044226
14.799999,15.049316
14.799999,14.998448
15.0,15.089515
15.0,15.191843
15.1,15.212442
15.1,15.260505
15.0,15.295767
15.0,15.207793
15.0,15.191488
15.0,15.14982
14.9,15.205751
14.9,15.126545
14.9,15.09716
14.9,15.04951
15.0,15.03541
15.0,15.04138
15.0,15.07853
15.0,15.058807
15.0,15.1271515
15.0,15.122494
14.9,15.16625
14.799999,15.086687
15.1,15.110622
15.2,15.329153
15.2,15.408562
15.4,15.399858
15.4,15.531834
15.5,15.591242
15.6,15.600407
15.6,15.654814
15.6,15.647299
15.6,15.650095
15.6,15.668608
15.6,15.676321
15.6,15.748269
15.6,15.797121
15.6,15.722659
15.6,15.746365
15.6,15.67009
15.6,15.686028
15.6,15.616661
15.5,15.692783
15.5,15.588074
15.5,15.526606
15.5,15.55703
15.5,15.579006
15.6,15.577435
15.6,15.727503
15.6,15.7626705
15.799999,15.795723
15.9,16.002674
15.9,16.035183
15.9,16.001587
15.9,16.025162
15.9,16.00174
15.799999,15.941456
15.799999,15.836608
15.700001,15.857749
15.700001,15.773619
15.6,15.783188
15.6,15.733069
15.6,15.710199
15.6,15.729288
15.6,15.7043295
15.5,15.663511
15.5,15.67719
15.5,15.617856
15.5,15.647313
15.5,15.671337
15.5,15.595442
15.6,15.718923
15.6,15.875597
15.6,15.859165
15.700001,15.868746
15.799999,15.896097
15.9,15.979052
15.9,16.095789
16.0,16.112726
16.0,16.095999
16.0,16.053074
15.9,15.990385
15.799999,16.001081
15.799999,15.900391
15.700001,15.929851
15.700001,15.81498
15.6,15.807909
15.6,15.720755
15.6,15.647144
15.6,15.694216
15.6,15.701451
15.6,15.68063
15.6,15.677998
15.6,15.681246
15.6,15.675953
15.6,15.698078
15.6,15.77573
15.6,15.730222
15.700001,15.809694
15.799999,15.914149
15.9,15.942047
16.0,16.023144
15.9,16.012655
15.9,16.009624
15.799999,15.947308
15.799999,15.863288
15.700001,15.831537
15.6,15.711861
15.5,15.63519
15.5,15.569204
15.4,15.602795
15.4,15.553123
15.4,15.477547
15.4,15.414452
15.4,15.385968
15.4,15.398797
15.4,15.4726515
15.4,15.482153
15.4,15.438982
15.4,15.534018
15.4,15.626291
15.4,15.600786
15.4,15.624751
15.4,15.61583
15.5,15.626875
15.5,15.637836
15.6,15.640683
15.6,15.6542225
15.700001,15.650982
15.6,15.653223
15.5,15.602575
15.5,15.602686
15.4,15.613357
15.4,15.47049
15.299999,15.4345455
15.299999,15.34087
15.299999,15.3071995
15.299999,15.360273
15.299999,15.407186
15.299999,15.30357
15.299999,15.328434
15.299999,15.324099
15.299999,15.403418
15.4,15.496102
15.4,15.575339
15.5,15.579687
15.5,15.621273
15.700001,15.6475935
15.700001,15.778397
15.799999,15.804632
15.799999,15.809498
15.799999,15.866278
15.700001,15.785839
15.6,15.7188835
15.6,15.720358
15.5,15.681128
15.5,15.575751
15.4,15.504878
15.4,15.485781
15.299999,15.419769
15.299999,15.31145
15.2,15.279276
15.2,15.208503
15.2,15.21763
15.2,15.245922
15.2,15.247494
15.2,15.33081
15.2,15.4157095
15.299999,15.50979
15.299999,15.59679
15.5,15.6235695
15.6,15.694576
15.799999,15.830439
15.799999,15.896072
15.9,15.92053
15.799999,15.93549
15.799999,15.914018
15.799999,15.839687
15.700001,15.786715
15.6,15.741869
15.5,15.636054
15.5,15.612753
15.4,15.5473385
15.4,15.4541
15.4,15.3710165
15.299999,15.365242
15.299999,15.327986
15.299999,15.336557
15.299999,15.370155
15.299999,15.426517
15.4,15.436538
15.100716,15.474725
15.299999,15.310412
15.299999,15.521563
15.5,15.576281
15.6,15.6439705
15.6,15.767195
15.6,15.769062
15.6,15.656466
15.6,15.705063
15.5,15.576204
15.4,15.52189
15.4,15.430925
15.299999,15.449242
15.2,15.380486
15.2,15.299363
15.1,15.25589
15.1,15.150217
15.0,15.134117
15.0,15.055336
15.0,14.98431
15.0,15.038908
15.0,14.980699
15.0,15.076292
15.0,15.043974
15.1,15.192102
15.1,15.218647
15.1,15.26322
15.2,15.235643
15.5,15.374006
15.5,15.605257
15.5,15.556594
15.4,15.479101
