Actual,Predicted
393.0,388.7582
394.0,394.16193
392.0,394.13165
396.0,393.11127
394.0,394.39017
392.0,392.43826
384.0,389.9995
382.0,384.88522
377.0,382.41116
380.0,380.0355
381.0,380.73917
379.0,382.22382
383.0,380.4847
381.0,383.98465
383.0,384.61523
384.0,386.40292
382.0,389.49942
379.0,387.72742
381.0,387.81274
388.0,391.3712
397.0,398.17255
406.0,406.79193
419.0,414.80643
417.0,423.04654
410.0,421.34274
415.0,413.3716
401.0,414.0991
391.0,402.1269
393.0,393.54034
393.0,395.22784
388.0,396.1117
386.0,394.58575
387.0,391.88968
384.0,394.34494
381.0,391.96112
378.0,389.33426
368.0,388.2391
373.0,381.83008
365.0,387.4415
367.0,382.43924
375.0,383.5675
380.0,390.65115
382.0,392.41623
380.0,393.85086
383.0,391.6328
392.0,393.28207
401.0,400.4478
396.0,403.55536
412.0,404.0165
410.0,413.41605
407.0,410.61874
405.0,406.1575
407.0,400.6334
398.0,402.09943
400.0,396.37894
418.0,400.28403
403.0,413.1906
401.0,401.70505
410.0,401.66492
411.0,409.9851
421.0,413.5673
424.0,420.03156
427.0,424.24173
426.0,426.9798
431.0,422.42773
425.0,426.53372
419.0,421.07126
412.0,414.11517
418.0,411.1987
424.0,413.7779
425.0,416.28973
422.0,417.16022
417.0,414.24573
414.0,408.66183
406.0,405.42776
409.0,400.73663
415.0,405.28958
418.0,411.23965
421.0,415.93304
420.0,417.24002
421.0,419.1972
424.0,421.20068
431.0,425.5562
436.0,433.37277
445.0,439.4518
448.0,447.0288
444.0,449.69406
442.0,445.88763
439.0,442.00674
439.0,442.27258
440.0,440.33044
442.0,441.32254
444.0,443.0656
446.0,446.0872
445.0,448.46317
441.0,447.09253
439.0,442.07675
441.0,440.26312
448.0,442.7706
447.0,448.1979
457.0,448.9099
457.0,458.256
461.0,457.5496
464.0,459.99725
464.0,459.479
461.0,460.42218
460.0,456.26016
452.0,451.3583
442.0,442.81
439.0,437.5694
435.0,430.65213
426.0,426.47528
430.0,421.0675
446.4,422.41772
370.13278,432.61487
384.0612,374.73874
378.08246,381.91437
386.03442,389.87823
383.3413,391.76587
