Actual,Predicted
7.7,7.8788815
7.8,7.9559026
7.8,7.7009497
7.4,7.6638036
7.5,7.635545
7.6,7.6515365
7.6,7.5771728
7.6,7.545402
7.2,7.4340644
7.7,7.501705
7.6,7.655948
7.6,7.678038
7.6,7.676003
7.7,7.6715355
7.6,7.616821
7.6,7.6647863
7.5,7.635036
7.6,7.5862517
7.7,7.7152767
7.8,7.741902
7.8,7.8286943
7.8,7.8013625
7.8,7.7915754
7.7,7.8461394
7.7,7.8279047
7.8,7.846904
7.7,7.6925707
7.3,7.5352817
7.6,7.57497
7.8,7.6122503
7.8,7.7082353
7.6,7.7206373
7.7,7.7887735
7.8,7.7552233
7.7,7.728974
7.6,7.781404
7.7,7.7754483
7.7,7.69614
7.7,7.6045136
7.6,7.6957006
7.8,7.753972
7.6,7.7172503
7.7,7.6585035
7.8,7.736988
7.7,7.8325434
7.8,7.831215
7.8,7.7984014
7.8,7.871629
7.9,7.874476
7.8,7.851586
7.8,7.821165
7.7,7.7837415
7.7,7.7307463
7.7,7.679821
7.7,7.703394
7.7,7.7755165
7.7,7.7892284
7.7,7.7552085
7.6,7.7191114
7.7,7.716747
7.6,7.6600327
7.6,7.7246275
7.7,7.703373
7.6,7.678713
7.7,7.6881223
7.7,7.740972
7.8,7.8373303
7.8,7.81309
7.9,7.859512
7.7,7.92545
7.8,7.8347206
7.9,7.8207836
7.8,7.8445563
7.8,7.8596296
7.9,7.864446
7.8,7.8534737
7.8,7.8128066
7.8,7.8239956
7.8,7.8424387
7.8,7.8186507
7.8,7.8105865
7.8,7.8381405
7.7,7.7634635
7.8,7.7992144
7.8,7.8070183
7.8,7.7882404
7.7,7.77336
7.7,7.7883086
7.8,7.8561163
7.8,7.878913
7.8,7.7942834
7.8,7.8286386
7.8,7.84962
7.8,7.857529
7.9,7.890071
7.9,7.874467
7.9,7.9338346
7.9,7.923744
7.9,7.8986454
7.8,7.90811
7.9,7.923438
7.8,7.9371104
7.9,7.9122133
7.8,7.8549056
7.8,7.8701367
7.8,7.822565
7.8,7.936623
7.8,7.9642043
7.8,7.9166865
7.3,7.650823
7.6,7.5012484
7.6,7.60106
7.7,7.7349453
7.7,7.6795816
7.7,7.754772
7.8,7.842076
7.8,7.8151445
7.8,7.847931
7.8,7.795494
7.8,7.908794
7.8,7.8391085
7.8,7.7956195
7.8,7.8042154
7.7,7.7594314
7.9,7.8132024
7.9,7.869022
7.9,7.900023
7.8,7.864517
7.8,7.860003
7.8,7.8437037
7.7,7.750627
7.6,7.692648
7.6,7.6361203
7.5,7.601659
7.7,7.662139
7.7,7.6614103
7.6,7.7107744
7.7,7.7771173
7.7,7.853866
7.8,7.8109202
7.8,7.795158
7.8,7.812587
7.8,7.8779497
7.8,7.8568993
7.8,7.863094
7.8,7.869173
7.8,7.8382554
7.8,7.799214
7.8,7.8350077
7.7,7.8026676
7.8,7.8051977
7.8,7.8084526
7.8,7.8611207
7.8,7.839719
7.7,7.7573175
7.8,7.795609
7.7,7.7624636
7.7,7.82983
7.7,7.782189
7.7,7.7854257
7.8,7.8387847
7.8,7.8348756
7.8,7.865158
7.8,7.85573
7.8,7.87485
7.9,7.887592
8.0,7.953663
7.9,7.9080176
7.9,7.9237566
7.9,7.860294
7.9,7.936174
7.8,7.95155
7.8,7.9173064
7.9,7.846977
7.8,7.806949
7.8,7.8055286
7.8,7.844933
7.6,7.7037997
7.7,7.740014
7.8,7.7959332
7.8,7.7381897
7.6,7.7053213
7.6,7.7007823
7.6,7.7120786
7.7,7.6841755
7.7,7.713847
7.7,7.6843386
7.7,7.784805
7.8,7.844047
7.9,7.9349165
8.0,7.931713
8.0,7.9686813
7.9,7.946423
7.8,7.929984
7.8,7.821265
7.7,7.774581
7.7,7.7680874
7.7,7.7179794
7.8,7.7846136
7.7,7.76182
7.8,7.771611
7.8,7.8111625
7.7,7.7969036
7.7,7.81615
7.8,7.8051243
7.7,7.7732525
7.7,7.7031474
7.7,7.7438846
7.8,7.8138366
7.8,7.823861
7.8,7.8844337
7.9,7.9468503
7.9,7.9357977
7.9,7.9582005
8.0,8.05602
7.9,8.021682
7.9,7.9529057
7.9,7.9286656
7.9,7.9182944
7.9,7.8824105
7.9,7.929297
7.8,7.873433
7.8,7.8467016
7.8,7.8433857
7.7,7.844069
7.7,7.83893
7.8,7.747661
7.7,7.7048
7.7,7.7301435
7.7,7.7154613
7.6,7.667441
7.7,7.684041
7.8,7.747298
7.8,7.7689996
7.8,7.8804517
8.0,7.952684
8.0,7.9876075
8.0,8.016766
8.0,8.111268
8.0,8.039233
8.0,7.995016
7.9,7.9326353
7.9,7.923307
7.8,7.8647213
7.8,7.8797665
7.8,7.7913585
7.8,7.782059
7.8,7.7795253
7.7,7.763744
7.7,7.7311482
7.7,7.700092
7.6,7.665059
7.6,7.6234245
7.6,7.6254497
7.7,7.71914
7.6,7.6893086
7.7,7.6903915
7.7,7.735427
7.7,7.763625
7.6,7.7118473
7.7,7.7584047
7.8,7.794777
7.7,7.782148
7.7,7.747122
7.7,7.7250214
7.7,7.736174
7.7,7.7502747
7.8,7.7634015
7.7,7.749383
7.7,7.733538
7.7,7.730987
7.7,7.715274
7.7,7.748103
7.7,7.7536707
7.7,7.760204
7.7,7.725737
7.7,7.73817
7.7,7.7653546
7.8,7.7755156
7.8,7.840782
7.8,7.8432603
7.8,7.8572016
7.7,7.8231483
7.7,7.828015
7.7,7.7740445
7.7,7.7589555
7.7,7.7751822
7.8,7.8011622
7.8,7.7533646
7.8,7.8041534
7.8,7.8968654
7.8,7.895928
7.8,7.8533263
7.8,7.8494496
7.8,7.7851987
7.8,7.7519755
7.8,7.738094
7.7,7.7388115
7.7,7.8036003
7.96,7.897619
7.7,7.890567
7.7,7.8054996
7.7,7.750282
7.6,7.7072024
7.7,7.75068
7.7,7.694413
7.8,7.8100557
7.8,7.827256
8.0,7.9422464
8.0,8.034166
8.0,8.078267
8.0,8.0470295
8.0,7.9862137
7.9,7.9487853
8.0,8.00387
7.9,8.00459
7.8,7.9418716
7.8,7.824595
7.8,7.7666755
7.7,7.7432675
7.8,7.7931213
7.7,7.780081
7.8,7.81891
7.7,7.752028
7.8,7.786761
7.5,7.7523975
7.6,7.6308184
7.7,7.6164064
7.7,7.7399755
7.8,7.8301244
7.8,7.8405304
7.8,7.8603244
7.8,7.907181
8.0,8.00679
8.0,7.9873557
8.0,7.9924273
8.0,8.031259
8.0,8.01438
8.0,7.976689
8.0,8.010501
8.0,8.031438
8.0,8.018633
8.0,8.030309
8.0,8.017269
8.0,8.033578
8.0,7.9787297
8.0,7.9739623
7.9,7.996973
7.9,8.014306
8.0,8.004394
7.9,7.971048
7.9,7.9408817
7.9,7.9257145
7.9,7.9026494
7.9,7.9665723
8.0,7.9927506
7.9,8.006719
8.0,8.063855
8.0,8.062773
8.0,8.066778
8.0,8.042076
8.0,8.08395
8.1,8.103601
8.1,8.070588
8.0,8.0703335
8.1,8.067936
8.0,8.083049
8.0,8.080415
8.0,8.055493
8.0,8.02058
8.0,8.026058
8.0,8.067266
8.0,8.014019
8.0,8.038887
8.0,8.04424
8.0,8.070995
8.0,8.012734
8.0,8.06464
8.0,8.061145
8.0,8.0257
8.0,8.0635805
8.1,8.097505
8.1,8.112082
8.1,8.140464
8.1,8.15863
8.1,8.1594095
8.1,8.178986
8.1,8.113423
8.0,8.031133
8.0,8.04314
8.0,8.026953
7.9,7.97186
7.9,7.9748054
8.0,7.9855466
7.9,7.963165
7.9,7.9498363
7.9,7.9455934
8.0,8.012875
7.9,8.010593
8.0,8.023853
8.0,8.018563
8.0,8.077606
8.0,8.053689
8.0,8.093939
8.1,8.137958
8.1,8.173152
8.2,8.204376
8.2,8.226111
8.2,8.249465
8.1,8.205944
8.1,8.143473
8.1,8.178444
8.1,8.138181
8.0,8.06976
8.0,8.022812
8.0,7.9905953
8.0,8.037758
8.0,8.027022
7.9,7.9809723
7.9,7.9288073
7.9,7.9654584
8.0,7.9799933
7.9,7.990094
7.9,7.946339
7.9,7.9393544
8.0,7.977389
8.0,8.022663
8.0,8.051993
8.1,8.101216
8.2,8.173882
8.2,8.233585
8.2,8.243672
8.1,8.190292
8.2,8.153426
8.2,8.128267
8.1,8.136837
8.1,8.127985
8.0,8.042004
8.0,8.008123
7.9,7.9590125
8.0,7.951401
7.9,7.980655
7.9,7.9419813
7.9,7.9017515
7.9,7.94202
8.0,7.9894676
8.0,8.049818
8.0,8.006613
8.0,8.090991
8.0,8.047453
8.0,8.057445
8.0,8.068895
8.1,8.15488
8.1,8.123818
8.2,8.173071
8.2,8.209145
8.2,8.202208
8.1,8.124546
8.0,8.087477
8.0,8.029527
8.0,8.012317
8.0,8.045711
8.0,8.009112
7.9,7.9701233
7.9,7.956536
7.9,7.972928
7.9,7.9363885
7.8,7.902606
7.9,7.8883553
7.9,7.9163265
7.9,7.986802
8.0,7.99427
8.0,7.979028
8.0,8.043548
8.1,8.114082
8.1,8.104448
8.1,8.164862
8.1,8.184108
8.2,8.214391
8.3,8.25681
8.2,8.243807
8.2,8.259916
8.2,8.223019
8.0,8.1547365
8.0,8.061546
8.0,8.0184555
8.0,8.013232
8.0,7.9805737
7.9,7.9519725
7.9,7.963287
8.0,7.9712653
8.0,8.007081
8.0,7.9791565
8.0,8.049122
8.0,8.038555
8.0,8.058011
8.0,8.051516
8.1,8.113086
8.1,8.103901
8.2,8.17184
8.2,8.2071705
8.2,8.235321
8.2,8.328915
8.3,8.314877
8.3,8.300705
8.0,8.202855
8.2,8.119094
8.1,8.177779
8.1,8.142957
8.0,8.036404
8.0,8.068579
8.0,8.0268345
8.0,8.026167
8.0,8.007337
8.0,8.070785
8.0,8.085079
8.0,8.011956
8.0,8.006566
8.0,8.03443
8.0,8.080615
8.0,8.089737
8.1,8.108043
8.1,8.092177
8.0,8.0813465
8.2,8.189222
8.2,8.243026
8.2,8.262377
8.2,8.256846
8.2,8.202988
8.0,8.119104
8.0,8.063527
8.0,8.047866
8.0,7.9831924
8.0,8.00189
8.0,8.009976
8.0,8.029193
8.0,7.964016
8.0,8.031525
8.0,8.022936
8.0,8.043962
8.0,8.034566
8.0,8.020791
8.0,8.026986
8.0,8.053883
8.1,8.135319
8.2,8.197529
8.2,8.2305
8.3,8.294043
8.3,8.296209
8.3,8.347523
8.3,8.348575
8.2,8.269326
8.2,8.259311
8.2,8.232033
8.1,8.184982
8.1,8.160248
8.1,8.109292
8.1,8.12442
8.1,8.127176
8.1,8.150254
8.1,8.11431
8.1,8.155615
8.1,8.162085
8.1,8.103319
8.0,8.0759535
8.0,8.059499
8.0,8.0392475
8.0,8.024981
8.0,8.050319
8.0,8.072807
8.1,8.093198
8.0,8.107611
8.1,8.103807
8.1,8.117536
8.0,8.10576
8.0,8.089407
8.0,8.076806
8.0,7.980695
7.9,7.9364605
7.9,7.951684
7.9,7.9284005
7.9,7.9233212
7.9,7.9079967
7.9,7.9524274
7.9,7.924467
7.9,7.9244585
7.8,7.880737
7.8,7.868531
7.8,7.826167
7.8,7.8417044
7.9,7.8770995
7.9,7.907555
8.0,7.9620442
8.1,8.084633
8.3,8.229148
8.3,8.354316
8.4,8.393813
8.4,8.429501
8.4,8.44162
8.3,8.404003
8.2,8.315834
8.2,8.24042
8.1,8.149269
8.2,8.127101
8.1,8.178435
8.1,8.146952
8.1,8.123423
8.0,8.094303
8.0,8.077721
8.0,8.026601
7.9,7.987363
7.9,7.9856305
7.8,7.8896112
8.0,7.9316077
8.0,8.023332
8.1,8.10149
8.2,8.176353
8.2,8.244199
8.4,8.37899
8.4,8.407293
8.5,8.470439
8.4,8.457404
8.3,8.399453
8.3,8.376347
8.3,8.290332
8.2,8.257097
8.2,8.228138
8.2,8.180467
8.1,8.13407
8.1,8.076071
8.0,8.090809
8.0,8.033537
8.0,8.010969
8.0,8.049826
8.1,8.088532
8.0,8.050715
7.9,8.005722
7.9,7.976957
8.0,8.002998
8.0,8.067746
8.2,8.2323265
8.1,8.22948
8.4,8.346571
8.5,8.410597
8.4,8.456648
8.6,8.547094
8.7,8.5638485
8.5,8.573211
8.4,8.4658
8.4,8.419146
8.3,8.2925
8.3,8.299867
8.3,8.28576
8.2,8.171364
8.1,8.176486
8.2,8.217904
8.1,8.175568
8.1,8.120366
8.1,8.102751
8.1,8.070229
8.0,8.021569
8.0,8.11204
8.1,8.155218
8.1,8.147821
8.4,8.301344
8.4,8.42329
8.5,8.486086
8.5,8.545842
8.6,8.670791
8.7,8.655513
8.6,8.587608
8.5,8.54827
8.5,8.482548
8.4,8.435718
8.4,8.441396
8.4,8.357097
8.3,8.3309965
8.3,8.324082
8.3,8.300627
8.2,8.21964
8.1,8.217909
8.2,8.180324
8.1,8.203612
8.1,8.137995
8.0,8.080978
8.0,8.040717
8.1,8.081627
8.2,8.221641
8.4,8.358194
8.5,8.499309
8.7,8.660297
8.7,8.786458
8.8,8.814167
8.7,8.825941
8.8,8.726619
8.7,8.734275
8.7,8.660865
8.6,8.635422
8.6,8.594449
8.5,8.535836
8.6,8.524156
8.5,8.546862
8.5,8.504598
8.4,8.414057
8.3,8.417713
8.3,8.329465
8.0,8.195081
8.2,8.069705
8.1,8.128029
8.0,8.092662
8.1,8.11348
8.1,8.179745
8.3,8.33396
8.4,8.408283
8.4,8.461232
8.6,8.628307
8.7,8.646768
8.7,8.721541
8.7,8.688598
8.6,8.599282
8.5,8.566537
8.5,8.490138
8.3,8.381497
8.3,8.341169
8.2,8.25866
8.2,8.278812
8.34,8.251368
8.1,8.27035
8.2,8.174745
8.1,8.174427
8.0,8.14557
8.0,8.06096
8.0,8.008926
8.0,8.041046
8.2,8.224213
8.3,8.295569
8.3,8.392395
8.6,8.596672
8.8,8.746314
8.9,8.865939
8.9,8.939272
9.0,9.041052
8.9,8.928398
8.9,8.888431
8.8,8.779807
8.6,8.643868
8.7,8.649076
8.7,8.635246
8.7,8.608149
8.6,8.544471
8.6,8.564276
8.4,8.495332
8.4,8.392086
8.3,8.387021
8.3,8.325854
8.2,8.216826
8.1,8.185745
8.1,8.188584
8.1,8.211589
8.4,8.41393
8.7,8.634187
8.7,8.800216
8.9,8.93285
9.0,8.980174
9.0,9.082183
9.1,9.109074
9.0,9.043922
8.9,8.915824
8.8,8.861581
8.8,8.793114
8.7,8.693592
8.5,8.591201
8.6,8.6109085
8.6,8.573133
8.5,8.494415
8.5,8.5116415
8.4,8.431122
8.3,8.371322
8.2,8.337535
8.2,8.26071
8.1,8.134171
8.1,8.166155
8.1,8.167268
8.3,8.337459
8.3,8.379322
8.7,8.593694
8.8,8.805673
8.9,8.957758
9.0,9.096299
9.1,9.040912
9.1,9.050693
9.0,9.041308
8.9,9.002698
8.8,8.95828
8.8,8.803004
8.6,8.673417
8.7,8.679127
8.5,8.6423
8.6,8.573701
8.5,8.562731
8.5,8.51178
8.4,8.485038
8.3,8.376497
8.3,8.299282
8.2,8.285826
8.2,8.275543
8.3,8.335946
8.4,8.458294
8.6,8.643574
8.9,8.864588
9.0,9.0270195
9.1,9.096428
9.1,9.207789
9.2,9.208386
9.2,9.222301
9.1,9.143102
9.1,9.059255
9.0,9.0401325
9.0,9.00868
8.8,8.898494
8.8,8.771166
8.8,8.78365
8.8,8.785388
8.7,8.737511
8.7,8.6831875
8.6,8.640205
8.5,8.542507
8.4,8.5157585
8.4,8.434597
8.3,8.362145
8.4,8.424221
8.6,8.5616255
8.8,8.732918
8.9,8.91928
9.1,9.0480175
9.1,9.170914
9.2,9.231426
9.2,9.238301
9.2,9.245392
9.1,9.147428
9.0,9.075922
8.9,8.92015
8.9,8.903887
8.8,8.837989
8.8,8.759122
8.8,8.738163
8.7,8.6944275
8.6,8.629008
8.6,8.603798
8.5,8.541271
8.4,8.422848
8.3,8.343454
8.3,8.278196
8.2,8.258003
8.4,8.363077
8.6,8.510847
8.7,8.720597
8.8,8.860543
9.0,9.044758
9.1,9.094802
9.0,9.102729
9.1,9.103775
9.1,9.121093
9.1,9.070556
9.0,8.982887
9.0,8.915804
8.9,8.883645
8.9,8.861008
8.8,8.801205
8.7,8.794852
8.7,8.6709795
8.6,8.658014
8.6,8.583862
8.5,8.522006
8.4,8.49333
8.3,8.361658
8.2,8.2663355
8.2,8.314098
8.3,8.295252
8.4,8.436002
8.6,8.633257
8.7,8.755797
8.9,8.886125
9.0,9.026584
9.1,9.160662
9.1,9.130056
9.2,9.124247
9.1,9.14584
9.1,9.067897
9.0,9.0243435
9.0,8.988712
8.9,8.890451
8.8,8.822809
8.8,8.791631
8.8,8.721272
8.7,8.691039
8.6,8.602586
8.6,8.551342
8.5,8.478574
8.4,8.413173
8.3,8.321822
8.3,8.323563
8.5,8.4354
8.7,8.609851
8.9,8.7940645
9.0,9.059877
9.1,9.1602
9.2,9.248345
9.2,9.29199
9.2,9.266429
9.0,9.151527
9.2,9.086437
9.1,9.079284
9.0,9.059385
9.0,8.983188
9.0,8.932393
8.8,8.868315
8.9,8.82826
8.8,8.810848
8.8,8.768119
8.7,8.693316
8.6,8.665066
8.6,8.561475
8.5,8.511014
8.4,8.409904
8.4,8.424684
8.6,8.55904
8.8,8.732482
8.9,8.859675
9.0,9.027495
9.1,9.129991
9.0,9.125071
9.0,9.111523
9.0,9.064797
9.0,8.9689245
8.8,8.8865795
8.8,8.806777
8.8,8.75769
8.7,8.677088
8.6,8.647751
8.6,8.602069
8.5,8.515
8.4,8.416491
8.3,8.359192
8.3,8.302828
8.2,8.220449
8.1,8.126801
8.1,8.089591
8.1,8.085707
8.1,8.102816
8.1,8.173702
8.2,8.291587
8.3,8.340707
8.3,8.392617
8.4,8.504297
8.5,8.517516
8.5,8.546809
8.6,8.612628
8.6,8.617016
8.4,8.554693
8.3,8.436683
8.3,8.341622
8.2,8.266889
8.1,8.150689
8.0,8.119839
7.9,8.021777
7.9,7.935505
7.8,7.893442
7.8,7.866405
7.8,7.7835364
7.7,7.741748
7.7,7.668841
7.6,7.666839
7.6,7.6817145
7.6,7.6371064
7.5,7.643033
7.6,7.6812367
7.6,7.7204833
7.7,7.71495
7.7,7.7291713
7.7,7.750801
7.6,7.6989017
7.7,7.8049703
7.9,7.8674936
7.8,7.8961515
7.8,7.8215594
7.8,7.8518124
7.8,7.87209
7.9,7.8877583
7.9,7.8793707
7.8,7.8956513
7.8,7.883502
7.8,7.9039183
7.8,7.8755817
7.8,7.822022
7.7,7.750085
7.7,7.75401
7.7,7.7476296
7.7,7.8094187
7.8,7.8475304
7.9,7.883429
7.9,7.925317
8.0,8.013695
7.9,8.014748
8.0,8.042933
8.1,8.066912
8.1,8.101192
8.1,8.166602
8.1,8.155352
8.1,8.062878
8.0,8.028524
8.0,8.030568
8.0,8.0016985
8.0,7.985104
7.9,7.9768167
7.9,7.909246
7.6,7.772338
7.9,7.7344995
7.9,7.8636527
7.9,7.93198
7.9,7.9196215
7.9,7.915083
7.9,7.912262
7.9,7.9604964
8.0,8.044676
8.1,8.089704
8.1,8.147319
8.2,8.275177
8.3,8.331768
8.4,8.389284
8.3,8.359406
8.3,8.335403
8.3,8.3193445
8.3,8.289363
8.2,8.2321005
8.2,8.189831
8.2,8.161487
8.1,8.119034
8.1,8.143117
8.1,8.112238
8.1,8.05574
8.0,8.034909
8.0,8.073237
8.0,8.043821
8.0,8.000921
7.8,7.947868
8.0,7.9688883
8.1,8.091678
8.2,8.20201
8.3,8.309544
8.4,8.449184
8.4,8.493893
8.5,8.563525
8.5,8.561985
8.6,8.576613
8.5,8.515684
8.5,8.495589
8.5,8.456882
8.4,8.445297
8.4,8.451082
8.2,8.259511
7.7,7.956123
8.1,7.87672
8.2,8.044445
8.1,8.139365
8.1,8.109208
8.1,8.116715
8.0,8.042143
8.0,8.122958
8.0,8.024509
8.1,8.110457
8.2,8.150383
8.3,8.312302
8.4,8.382228
8.5,8.518286
8.6,8.644087
8.7,8.686745
8.7,8.763032
8.7,8.793857
8.7,8.722792
8.5,8.657599
8.6,8.557033
8.5,8.552159
8.5,8.523058
8.4,8.403798
8.4,8.411125
8.3,8.308418
8.3,8.410396
8.2,8.355182
7.6,8.013646
7.8,7.622055
7.8,7.6994495
7.9,7.893761
7.9,7.87459
8.0,7.9830256
8.1,8.038057
8.3,8.258973
8.5,8.445438
8.6,8.548129
8.6,8.6082945
8.8,8.767691
8.8,8.779968
8.9,8.800192
8.8,8.821643
8.7,8.750148
8.7,8.654417
8.7,8.6565485
8.6,8.615561
8.5,8.50109
8.5,8.522903
8.4,8.4061575
8.3,8.34551
8.3,8.330637
8.2,8.238786
8.2,8.144637
8.1,8.1283655
8.1,8.125304
8.1,8.120633
8.1,8.119502
8.4,8.34641
8.6,8.501034
8.7,8.734229
8.8,8.857567
8.9,8.870962
8.9,8.93823
9.0,9.022064
9.0,8.984253
9.0,8.985738
8.9,8.971703
8.9,8.9129505
8.8,8.908057
8.8,8.802043
8.7,8.78333
8.6,8.727012
8.6,8.643883
8.5,8.530237
8.5,8.542473
8.3,8.446321
8.3,8.329162
8.3,8.281549
8.2,8.274776
8.2,8.324881
8.4,8.407238
8.6,8.524696
8.8,8.675082
8.9,8.933739
9.0,9.046772
9.1,9.189853
9.1,9.113606
9.1,9.124917
9.2,9.20518
9.1,9.124504
9.1,9.066809
9.0,8.989885
8.9,8.884483
8.9,8.83974
8.8,8.784824
8.8,8.753821
8.8,8.724792
8.7,8.677744
8.6,8.653347
8.5,8.574054
8.5,8.391686
8.4,8.343381
8.3,8.45703
8.4,8.637851
8.5,8.614696
8.8,8.603916
8.28,8.5807905
9.1,8.858584
9.1,9.098926
9.1,9.297971
9.1,9.318817
9.1,9.228694
9.2,9.1356
9.1,9.105988
9.2,9.216454
9.1,9.103933
9.1,9.122486
9.1,9.09491
9.0,9.038583
9.0,9.00997
8.9,8.949508
8.8,8.789639
8.7,8.731481
8.7,8.684746
8.6,8.570041
8.6,8.547964
8.5,8.516676
8.6,8.559501
8.8,8.73769
8.9,8.910574
9.0,9.065802
9.1,9.13356
9.1,9.276555
9.3,9.368425
9.3,9.367826
9.3,9.421779
9.3,9.323347
9.3,9.3067665
9.2,9.277083
9.2,9.249555
9.2,9.248484
9.1,9.135022
9.1,9.062684
9.1,9.0952635
9.0,9.002528
8.9,8.97788
8.9,8.936148
8.8,8.819731
8.8,8.776775
8.8,8.761406
8.7,8.722705
8.6,8.688016
8.7,8.747964
8.9,8.883498
9.0,8.983495
9.1,9.104399
9.1,9.184564
9.1,9.172767
9.1,9.176891
9.1,9.174534
9.0,9.116082
9.0,9.06378
8.9,8.980103
8.9,8.931533
8.9,8.86254
8.8,8.823957
8.8,8.808521
8.7,8.82792
8.7,8.727125
8.6,8.612107
8.4,8.548224
8.4,8.480134
8.4,8.411579
8.4,8.384773
8.3,8.39914
8.4,8.545053
8.6,8.638523
8.8,8.789869
8.9,8.891781
9.0,9.032638
9.1,9.175186
9.2,9.19785
9.2,9.273233
9.2,9.2572565
9.3,9.283401
9.2,9.234631
9.2,9.179241
9.2,9.185698
9.1,9.122597
9.0,9.053732
9.0,9.089126
9.0,9.046635
8.9,8.921448
8.9,8.884986
8.9,8.887045
8.8,8.81489
8.8,8.772415
8.7,8.774771
8.7,8.727606
8.6,8.694111
8.7,8.724776
8.7,8.779688
8.8,8.85521
8.9,8.933275
9.0,9.01406
9.0,9.067368
9.1,9.121053
9.1,9.140326
9.1,9.121286
9.1,9.131227
9.1,9.1179285
9.0,9.011688
8.9,9.017632
8.9,8.915503
8.8,8.9197235
8.8,8.852911
8.8,8.826038
8.7,8.743964
8.6,8.63598
8.6,8.605743
8.5,8.474121
8.3,8.459552
8.2,8.392524
8.1,8.247523
8.1,8.317998
8.3,8.410837
8.5,8.510746
8.6,8.665004
8.9,8.792272
9.0,9.051037
9.0,9.026756
9.1,9.128741
9.1,9.135491
9.1,9.112729
9.0,9.009748
8.9,9.044132
8.8,8.86464
8.8,8.831559
8.7,8.708278
8.7,8.637094
8.6,8.605593
8.5,8.520449
8.4,8.446491
8.3,8.342217
8.2,8.268725
8.1,8.137382
8.0,8.129098
7.9,8.135416
8.0,8.157182
8.1,8.186645
8.4,8.458062
8.6,8.579633
8.8,8.8919935
8.9,9.056262
9.0,8.955785
8.22,8.730447
9.1,8.7838125
9.0,9.021908
9.0,9.139318
8.9,9.129692
8.8,8.985106
8.7,8.677039
8.5,8.601507
8.5,8.706234
8.4,8.43223
8.3,8.364966
8.3,8.375344
8.2,8.298728
8.2,8.206717
8.1,8.213238
8.0,8.07585
7.9,7.990902
7.9,8.020036
8.0,8.04361
8.1,8.196709
8.3,8.374185
8.6,8.562389
8.8,8.73168
8.8,8.884123
9.0,8.9650135
9.0,8.9699545
8.9,8.982117
8.9,8.954015
8.9,8.90773
8.7,8.769739
8.7,8.726066
8.6,8.663476
8.5,8.54722
8.5,8.5407715
8.4,8.481578
8.4,8.403181
8.3,8.317727
8.2,8.292726
8.2,8.202704
8.1,8.200775
8.1,8.151516
8.1,8.137965
8.1,8.157726
8.1,8.251007
8.3,8.342805
8.3,8.431408
8.5,8.462139
8.4,8.553952
8.3,8.465965
8.2,8.352235
8.1,8.241432
8.1,8.205328
8.0,8.115049
8.0,8.041335
7.9,7.9954615
7.9,7.970329
7.8,7.9347525
7.8,7.8599777
7.8,7.8651977
7.8,7.911381
7.7,7.819521
