Actual,Predicted
19.7,20.41685
19.900002,19.956944
19.7,20.630323
19.5,21.100653
19.5,21.675337
19.8,21.852402
20.1,22.102533
19.900002,22.285492
19.7,21.866753
19.5,21.36097
19.5,20.914337
19.1,20.912437
19.5,20.211685
19.0,20.451637
18.900002,20.373013
19.0,20.238155
18.7,20.87086
18.7,20.720444
18.5,20.823023
18.2,20.642147
18.0,20.193142
18.400002,20.036644
17.900002,20.004723
18.1,19.976908
17.900002,20.208952
17.900002,20.114616
17.7,20.244816
17.7,20.393288
17.4,20.36481
17.3,20.19484
17.2,20.185568
17.0,20.124403
16.9,19.876135
16.8,20.00964
16.5,20.026804
16.6,20.082092
16.400002,20.14466
16.3,20.068132
16.1,19.759398
15.8,19.355785
15.8,18.83831
15.6,18.845726
15.2,18.503952
15.6,18.193802
15.0,18.539137
15.0,17.842363
15.0,17.814419
14.900001,17.691296
15.1,17.157265
14.900001,17.247047
14.700001,17.248459
14.900001,16.892853
14.6,17.039457
14.400001,16.6296
14.5,16.036766
14.300001,16.084644
14.300001,15.654607
14.0,15.226283
14.0,15.145481
13.9,14.5338335
13.8,14.673754
13.8,14.170697
13.700001,13.9817
13.4,13.761436
13.4,13.6000595
13.200001,13.474949
13.3,13.331743
13.1,13.043577
12.700001,12.779675
12.800001,12.496885
12.800001,12.305322
13.0,12.607673
12.900001,12.525365
13.0,12.542358
13.0,12.559219
12.800001,12.768508
12.800001,12.24637
12.5,12.048136
12.6,12.008293
12.5,11.853872
12.4,11.786631
12.3,11.526874
12.200001,11.460382
12.4,11.215146
12.3,11.411838
12.1,11.348112
12.200001,11.3513565
11.8,11.465894
12.0,11.218281
11.8,11.371077
11.9,11.2847595
11.700001,11.307783
11.700001,11.289646
11.400001,11.429136
11.5,11.620069
11.5,11.524015
11.700001,11.835797
11.6,12.164136
11.8,12.504538
11.400001,12.56061
11.9,12.688513
11.8,13.108959
12.0,13.358112
11.8,13.295218
11.700001,13.501746
12.200001,13.498993
11.8,13.742486
11.8,13.651512
11.8,13.486551
12.200001,13.5782585
12.1,13.8353615
12.3,13.657608
11.9,13.748993
12.0,13.653778
12.0,13.604118
12.1,13.934259
11.8,13.599529
11.6,13.697796
11.6,13.537855
11.6,13.567193
11.6,13.702141
11.9,13.817766
11.8,14.043869
12.0,14.134802
12.200001,14.281898
12.1,14.588091
12.1,14.397347
11.9,14.369246
11.9,14.216055
11.8,14.009132
11.8,14.049007
11.700001,13.807181
11.700001,13.82245
11.700001,13.777828
11.700001,13.661655
11.5,13.459978
11.700001,13.3936825
11.6,13.4238825
11.3,13.362585
11.3,13.105812
11.3,13.070307
10.9,13.110589
11.0,12.790199
10.8,12.788282
11.1,12.768644
11.3,13.027151
11.200001,13.304941
11.3,13.181873
11.200001,13.130716
11.1,13.192155
11.1,13.191904
11.1,12.903051
11.1,13.222268
10.7,12.833448
11.0,12.625415
10.7,12.973322
10.8,12.271047
10.6,12.3042965
10.7,12.011705
10.7,11.870342
10.7,11.936961
10.6,11.811707
10.8,11.894701
10.7,11.820045
10.4,12.024193
10.5,11.786934
10.1,11.629387
10.3,11.536737
10.1,11.572784
10.1,11.670916
10.1,11.308101
10.200001,11.789378
10.3,11.560919
10.3,11.796612
10.3,11.630812
10.200001,11.710032
10.200001,11.364297
10.200001,11.372494
10.1,10.936642
10.1,10.676133
9.8,10.538443
9.8,10.027603
9.9,10.047209
9.700001,9.929792
10.0,9.903431
9.9,9.93146
9.8,10.131261
9.8,9.867267
9.9,9.822889
9.8,9.90448
9.400001,9.989153
9.5,9.605018
9.5,9.644748
9.5,9.626918
9.6,9.7411785
9.700001,9.777973
9.9,9.766042
9.6,9.935253
9.700001,9.794451
9.6,9.98694
9.6,9.756583
9.6,9.824227
9.700001,9.786894
9.400001,9.598228
9.2,9.56045
9.400001,9.344358
9.2,9.556043
9.2,9.125185
9.2,9.15172
9.3,9.3194065
9.3,9.046364
9.3,9.40775
9.3,9.275051
9.3,9.319065
9.3,9.364966
9.2,9.188328
8.8,9.362576
9.0,9.083728
8.9,9.1834135
9.1,9.301462
9.2,8.969774
9.2,9.267265
9.1,9.119104
9.1,9.175186
9.400001,9.042691
9.2,9.287682
9.0,8.97707
9.0,8.504648
9.0,8.427818
8.7,8.176695
8.6,7.841684
8.6,7.653804
8.7,7.7333508
8.7,7.7760773
8.8,7.880013
8.8,8.035549
8.6,8.014958
8.9,7.676343
8.8,8.057071
8.5,7.8268013
8.5,7.6700206
8.4,7.5679984
8.5,7.7029653
8.5,7.6277003
8.4,7.75045
8.7,7.764821
8.6,7.973187
8.6,7.8037753
8.6,7.9020658
8.6,7.9015665
8.5,7.708483
8.5,7.5663447
8.4,7.438403
8.2,7.2706747
8.2,7.291842
8.3,7.389857
8.1,7.2054205
8.1,7.0499434
8.2,7.0969443
8.1,7.35483
8.2,7.102433
8.1,7.4527736
8.2,7.3074327
8.2,7.4508095
8.1,7.7383766
8.1,7.7267118
7.9,7.851065
8.0,7.725348
8.0,8.092197
8.1,7.9514093
8.1,7.995119
8.2,8.020928
8.1,8.116442
8.1,8.115572
8.1,8.027996
8.2,7.9606924
8.1,7.8846846
7.9,7.8279686
7.8,7.569537
7.7000003,7.6300387
7.8,7.6541543
7.8,7.773477
7.8,7.792857
7.9,7.791337
7.8,7.940134
7.8,8.048887
7.8,8.05355
7.7000003,7.974675
7.6000004,8.022428
7.5,7.7989397
7.6000004,7.947294
7.5,7.8896346
7.6000004,7.989791
7.5,8.004801
7.5,8.151794
7.5,8.050437
7.4,8.197321
7.6000004,7.9616604
7.6000004,8.155654
7.6000004,8.12108
7.4,7.770836
7.6000004,7.708197
7.4,7.6113605
7.3,7.3939285
7.2000003,7.264452
7.2000003,7.2794757
7.2000003,7.0436945
7.1,7.134401
7.3,7.2070804
7.3,7.3572264
7.2000003,7.346373
7.1,7.3556056
7.1,7.3800993
7.1,7.389977
7.2000003,7.285552
7.2000003,7.3537517
7.1,7.3847947
7.3,7.327719
7.0,7.4759007
7.2000003,7.3550153
7.2000003,7.256776
7.1,7.4143224
7.3,7.442918
7.0,7.413836
7.0,7.349886
7.1,7.126845
6.9,7.3124824
6.7000003,7.1330395
